Date,Region,Birth,Birth_rate,Death,Death_rate,Divorce,Divorce_rate,Marriage,Marriage_rate,Natural_growth,Natural_growth_rate
1/1/2000,Busan,3752,11.61,1875,5.8,814,2.5,2435,7.5,1877,5.8
1/1/2000,Chungcheongbuk-do,1903,15.06,924,7.3,220,1.7,828,6.6,979,7.7
1/1/2000,Chungcheongnam-do,2398,14.75,1466,9,321,2,1055,6.5,932,5.7
1/1/2000,Daegu,3057,14.39,1117,5.3,422,2,1577,7.4,1940,9.1
1/1/2000,Daejeon,1859,16.08,565,4.9,280,2.4,868,7.5,1294,11.2
1/1/2000,Gangwon-do,1966,14.91,1067,8.1,304,2.3,817,6.2,899,6.8
1/1/2000,Gwangju,2159,18.77,606,5.3,212,1.8,932,8.1,1553,13.5
1/1/2000,Gyeonggi-do,13527,17.85,3770,5,1931,2.5,5759,7.6,9757,12.9
1/1/2000,Gyeongsangbuk-do,3362,14.14,2230,9.4,406,1.7,1691,7.1,1132,4.8
1/1/2000,Gyeongsangnam-do,3928,15.05,2125,8.1,577,2.2,2092,8,1803,6.9
1/1/2000,Incheon,3320,15.61,957,4.5,604,2.8,1520,7.1,2363,11.1
1/1/2000,Jeju,842,18.45,288,6.3,136,3,396,8.7,554,12.1
1/1/2000,Jeollabuk-do,2547,14.97,1381,8.1,318,1.9,1131,6.6,1166,6.9
1/1/2000,Jeollanam-do,2679,14.69,1771,9.7,363,2,1216,6.7,908,5
1/1/2000,Seoul,12866,14.79,3931,4.5,1835,2.1,6781,7.8,8935,10.3
1/1/2000,Ulsan,1479,17.03,384,4.4,167,1.9,655,7.5,1095,12.6
1/1/2000,Whole country,61644,15.37,24457,6.1,9045,2.3,30120,7.5,37187,9.3
2/1/2000,Busan,3632,12.02,1453,4.8,802,2.7,2057,6.8,2179,7.2
2/1/2000,Chungcheongbuk-do,1722,14.57,878,7.4,257,2.2,753,6.4,844,7.1
2/1/2000,Chungcheongnam-do,2273,14.95,1120,7.4,326,2.1,893,5.9,1153,7.6
2/1/2000,Daegu,2698,13.56,983,4.9,429,2.2,1439,7.2,1715,8.6
2/1/2000,Daejeon,1752,16.17,467,4.3,307,2.8,757,7,1285,11.9
2/1/2000,Gangwon-do,1780,14.44,898,7.3,315,2.6,710,5.8,882,7.2
2/1/2000,Gwangju,1916,17.78,494,4.6,205,1.9,780,7.2,1422,13.2
2/1/2000,Gyeonggi-do,12437,17.51,3080,4.3,2008,2.8,5036,7.1,9357,13.2
2/1/2000,Gyeongsangbuk-do,3221,14.5,1899,8.5,408,1.8,1548,7,1322,6
2/1/2000,Gyeongsangnam-do,3612,14.79,1629,6.7,576,2.4,1882,7.7,1983,8.1
2/1/2000,Incheon,3069,15.42,852,4.3,649,3.3,1261,6.3,2217,11.1
2/1/2000,Jeju,764,17.89,259,6.1,139,3.3,441,10.3,505,11.8
2/1/2000,Jeollabuk-do,2296,14.45,1212,7.6,332,2.1,975,6.1,1084,6.8
2/1/2000,Jeollanam-do,2366,13.87,1537,9,376,2.2,1104,6.5,829,4.9
2/1/2000,Seoul,11797,14.48,3218,4,1912,2.3,5596,6.9,8579,10.5
2/1/2000,Ulsan,1388,17.07,327,4,216,2.7,574,7.1,1061,13
2/1/2000,Whole country,56723,15.11,20306,5.4,9392,2.5,26187,7,36417,9.7
3/1/2000,Busan,3935,12.19,1607,5,910,2.8,2024,6.3,2328,7.2
3/1/2000,Chungcheongbuk-do,1805,14.28,873,6.9,289,2.3,918,7.3,932,7.4
3/1/2000,Chungcheongnam-do,2269,13.96,1325,8.2,390,2.4,1187,7.3,944,5.8
3/1/2000,Daegu,3057,14.36,1024,4.8,498,2.3,1491,7,2033,9.6
3/1/2000,Daejeon,1835,15.81,516,4.4,380,3.3,925,8,1319,11.4
3/1/2000,Gangwon-do,1803,13.69,1022,7.8,377,2.9,882,6.7,781,5.9
3/1/2000,Gwangju,1893,16.42,499,4.3,328,2.8,958,8.3,1394,12.1
3/1/2000,Gyeonggi-do,13157,17.29,3325,4.4,2127,2.8,6119,8,9832,12.9
3/1/2000,Gyeongsangbuk-do,3292,13.87,1887,8,473,2,1706,7.2,1405,5.9
3/1/2000,Gyeongsangnam-do,3972,15.21,1744,6.7,659,2.5,1900,7.3,2228,8.5
3/1/2000,Incheon,3267,15.35,911,4.3,736,3.5,1520,7.1,2356,11.1
3/1/2000,Jeju,809,17.71,276,6,131,2.9,416,9.1,533,11.7
3/1/2000,Jeollabuk-do,2384,14.05,1241,7.3,418,2.5,1256,7.4,1143,6.7
3/1/2000,Jeollanam-do,2423,13.31,1644,9,444,2.4,1282,7,779,4.3
3/1/2000,Seoul,12453,14.29,3368,3.9,2333,2.7,6781,7.8,9085,10.4
3/1/2000,Ulsan,1524,17.51,330,3.8,226,2.6,623,7.2,1194,13.7
3/1/2000,Whole country,59878,14.91,21592,5.4,10878,2.7,30418,7.6,38286,9.5
4/1/2000,Busan,3464,11.08,1541,4.9,721,2.3,1733,5.5,1923,6.2
4/1/2000,Chungcheongbuk-do,1647,13.46,873,7.1,240,2,898,7.3,774,6.3
4/1/2000,Chungcheongnam-do,2076,13.19,1235,7.8,277,1.8,1190,7.6,841,5.3
4/1/2000,Daegu,2753,13.36,946,4.6,357,1.7,1219,5.9,1807,8.8
4/1/2000,Daejeon,1690,15.02,460,4.1,250,2.2,813,7.2,1230,10.9
4/1/2000,Gangwon-do,1612,12.65,901,7.1,295,2.3,870,6.8,711,5.6
4/1/2000,Gwangju,1773,15.87,489,4.4,222,2,864,7.7,1284,11.5
4/1/2000,Gyeonggi-do,11698,15.83,3262,4.4,1812,2.5,6043,8.2,8436,11.4
4/1/2000,Gyeongsangbuk-do,2968,12.92,1802,7.8,390,1.7,1396,6.1,1166,5.1
4/1/2000,Gyeongsangnam-do,3661,14.48,1648,6.5,521,2.1,1500,5.9,2013,8
4/1/2000,Incheon,2683,13,925,4.5,592,2.9,1545,7.5,1758,8.5
4/1/2000,Jeju,680,15.36,242,5.5,123,2.8,375,8.5,438,9.9
4/1/2000,Jeollabuk-do,2054,12.51,1163,7.1,291,1.8,993,6,891,5.4
4/1/2000,Jeollanam-do,2157,12.27,1409,8,309,1.8,1164,6.6,748,4.3
4/1/2000,Seoul,10782,12.77,3204,3.8,1916,2.3,6667,7.9,7578,9
4/1/2000,Ulsan,1360,16.12,320,3.8,199,2.4,500,5.9,1040,12.3
4/1/2000,Whole country,53058,13.64,20420,5.2,8640,2.2,28179,7.2,32638,8.4
5/1/2000,Busan,3511,10.88,1417,4.4,864,2.7,2501,7.7,2094,6.5
5/1/2000,Chungcheongbuk-do,1652,13.05,865,6.8,284,2.2,970,7.7,787,6.2
5/1/2000,Chungcheongnam-do,1988,12.21,1234,7.6,338,2.1,1265,7.8,754,4.6
5/1/2000,Daegu,2785,13.06,939,4.4,471,2.2,1802,8.5,1846,8.7
5/1/2000,Daejeon,1599,13.73,473,4.1,338,2.9,1001,8.6,1126,9.7
5/1/2000,Gangwon-do,1615,12.27,886,6.7,333,2.5,1118,8.5,729,5.5
5/1/2000,Gwangju,1698,14.7,477,4.1,243,2.1,969,8.4,1221,10.6
5/1/2000,Gyeonggi-do,11362,14.83,3201,4.2,2159,2.8,7143,9.3,8161,10.7
5/1/2000,Gyeongsangbuk-do,2973,12.53,1781,7.5,439,1.8,1846,7.8,1192,5
5/1/2000,Gyeongsangnam-do,3516,13.45,1618,6.2,663,2.5,2220,8.5,1898,7.3
5/1/2000,Incheon,2782,13.02,769,3.6,703,3.3,1924,9,2013,9.4
5/1/2000,Jeju,733,16.01,240,5.2,134,2.9,410,9,493,10.8
5/1/2000,Jeollabuk-do,2041,12.03,1216,7.2,391,2.3,1196,7.1,825,4.9
5/1/2000,Jeollanam-do,2109,11.61,1402,7.7,380,2.1,1265,7,707,3.9
5/1/2000,Seoul,10817,12.39,3064,3.5,2108,2.4,8428,9.7,7753,8.9
5/1/2000,Ulsan,1311,15.01,280,3.2,230,2.6,797,9.1,1031,11.8
5/1/2000,Whole country,52492,13.04,19862,4.9,10210,2.5,35330,8.8,32630,8.1
6/1/2000,Busan,2949,9.45,1343,4.3,874,2.8,2160,6.9,1606,5.1
6/1/2000,Chungcheongbuk-do,1436,11.72,828,6.8,283,2.3,794,6.5,608,5
6/1/2000,Chungcheongnam-do,1813,11.51,1170,7.4,383,2.4,987,6.3,643,4.1
6/1/2000,Daegu,2321,11.25,841,4.1,438,2.1,1422,6.9,1480,7.2
6/1/2000,Daejeon,1409,12.49,439,3.9,296,2.6,806,7.1,970,8.6
6/1/2000,Gangwon-do,1495,11.74,866,6.8,337,2.6,884,6.9,629,4.9
6/1/2000,Gwangju,1539,13.79,415,3.7,251,2.2,776,7,1124,10.1
6/1/2000,Gyeonggi-do,10491,14.12,2956,4,2165,2.9,6147,8.3,7535,10.1
6/1/2000,Gyeongsangbuk-do,2472,10.76,1660,7.2,471,2.1,1441,6.3,812,3.5
6/1/2000,Gyeongsangnam-do,2992,11.82,1509,6,677,2.7,1701,6.7,1483,5.9
6/1/2000,Incheon,2603,12.57,833,4,652,3.1,1596,7.7,1770,8.5
6/1/2000,Jeju,611,13.78,213,4.8,158,3.6,322,7.3,398,9
6/1/2000,Jeollabuk-do,1865,11.36,1085,6.6,369,2.2,847,5.2,780,4.8
6/1/2000,Jeollanam-do,1894,10.75,1385,7.9,343,1.9,949,5.4,509,2.9
6/1/2000,Seoul,9743,11.53,2959,3.5,2264,2.7,7160,8.5,6784,8
6/1/2000,Ulsan,1141,13.48,284,3.4,239,2.8,649,7.7,857,10.1
6/1/2000,Whole country,46774,12,18786,4.8,10324,2.6,29029,7.4,27988,7.2
7/1/2000,Busan,3113,9.66,1392,4.3,878,2.7,1450,4.5,1721,5.3
7/1/2000,Chungcheongbuk-do,1485,11.72,770,6.1,304,2.4,573,4.5,715,5.6
7/1/2000,Chungcheongnam-do,1865,11.45,1118,6.9,382,2.3,698,4.3,747,4.6
7/1/2000,Daegu,2441,11.44,893,4.2,446,2.1,1011,4.7,1548,7.3
7/1/2000,Daejeon,1451,12.44,446,3.8,318,2.7,536,4.6,1005,8.6
7/1/2000,Gangwon-do,1503,11.42,853,6.5,327,2.5,593,4.5,650,4.9
7/1/2000,Gwangju,1610,13.97,439,3.8,216,1.9,567,4.9,1171,10.2
7/1/2000,Gyeonggi-do,10682,13.88,3051,4,2122,2.8,4224,5.5,7631,9.9
7/1/2000,Gyeongsangbuk-do,2714,11.44,1737,7.3,446,1.9,956,4,977,4.1
7/1/2000,Gyeongsangnam-do,3087,11.79,1518,5.8,581,2.2,1168,4.5,1569,6
7/1/2000,Incheon,2669,12.45,893,4.2,675,3.1,1121,5.2,1776,8.3
7/1/2000,Jeju,661,14.42,262,5.7,132,2.9,243,5.3,399,8.7
7/1/2000,Jeollabuk-do,1925,11.35,1098,6.5,346,2,650,3.8,827,4.9
7/1/2000,Jeollanam-do,1944,10.67,1454,8,381,2.1,718,3.9,490,2.7
7/1/2000,Seoul,9990,11.44,3077,3.5,2165,2.5,5162,5.9,6913,7.9
7/1/2000,Ulsan,1237,14.13,292,3.3,227,2.6,389,4.4,945,10.8
7/1/2000,Whole country,48377,12,19293,4.8,10083,2.5,20488,5.1,29084,7.2
8/1/2000,Busan,3299,10.24,1405,4.4,902,2.8,1313,4.1,1894,5.9
8/1/2000,Chungcheongbuk-do,1536,12.12,808,6.4,319,2.5,549,4.3,728,5.7
8/1/2000,Chungcheongnam-do,1936,11.89,1294,7.9,390,2.4,676,4.2,642,3.9
8/1/2000,Daegu,2611,12.23,891,4.2,519,2.4,884,4.1,1720,8.1
8/1/2000,Daejeon,1551,13.28,473,4,316,2.7,542,4.6,1078,9.2
8/1/2000,Gangwon-do,1513,11.49,858,6.5,348,2.6,525,4,655,5
8/1/2000,Gwangju,1657,14.33,415,3.6,291,2.5,525,4.5,1242,10.7
8/1/2000,Gyeonggi-do,11256,14.59,3113,4,2340,3,3912,5.1,8143,10.6
8/1/2000,Gyeongsangbuk-do,2751,11.6,1688,7.1,569,2.4,894,3.8,1063,4.5
8/1/2000,Gyeongsangnam-do,3264,12.46,1576,6,647,2.5,1070,4.1,1688,6.4
8/1/2000,Incheon,2742,12.78,913,4.3,757,3.5,1059,4.9,1829,8.5
8/1/2000,Jeju,664,14.48,221,4.8,225,4.9,218,4.8,443,9.7
8/1/2000,Jeollabuk-do,1956,11.54,1186,7,414,2.4,602,3.6,770,4.5
8/1/2000,Jeollanam-do,2123,11.69,1417,7.8,445,2.5,657,3.6,706,3.9
8/1/2000,Seoul,10539,12.06,3215,3.7,2358,2.7,4660,5.3,7324,8.4
8/1/2000,Ulsan,1225,13.97,325,3.7,229,2.6,337,3.8,900,10.3
8/1/2000,Whole country,50623,12.55,19798,4.9,11216,2.8,18780,4.7,30825,7.6
9/1/2000,Busan,3438,11.03,1454,4.7,817,2.6,1059,3.4,1984,6.4
9/1/2000,Chungcheongbuk-do,1568,12.79,843,6.9,274,2.2,469,3.8,725,5.9
9/1/2000,Chungcheongnam-do,2113,13.41,1170,7.4,356,2.3,634,4,943,6
9/1/2000,Daegu,2584,12.5,956,4.6,463,2.2,620,3,1628,7.9
9/1/2000,Daejeon,1619,14.32,439,3.9,263,2.3,490,4.3,1180,10.4
9/1/2000,Gangwon-do,1584,12.43,863,6.8,276,2.2,527,4.1,721,5.7
9/1/2000,Gwangju,1834,16.37,517,4.6,311,2.8,471,4.2,1317,11.8
9/1/2000,Gyeonggi-do,11708,15.66,3223,4.3,1945,2.6,3392,4.5,8485,11.3
9/1/2000,Gyeongsangbuk-do,2881,12.56,1724,7.5,426,1.9,797,3.5,1157,5
9/1/2000,Gyeongsangnam-do,3353,13.23,1662,6.6,580,2.3,906,3.6,1691,6.7
9/1/2000,Incheon,2925,14.07,901,4.3,573,2.8,922,4.4,2024,9.7
9/1/2000,Jeju,740,16.68,235,5.3,124,2.8,152,3.4,505,11.4
9/1/2000,Jeollabuk-do,2122,12.95,1189,7.3,323,2,502,3.1,933,5.7
9/1/2000,Jeollanam-do,2128,12.14,1504,8.6,373,2.1,593,3.4,624,3.6
9/1/2000,Seoul,11020,13.03,3181,3.8,2001,2.4,3694,4.4,7839,9.3
9/1/2000,Ulsan,1296,15.27,321,3.8,221,2.6,289,3.4,975,11.5
9/1/2000,Whole country,52913,13.56,20182,5.2,9445,2.4,15844,4.1,32731,8.4
10/1/2000,Busan,3561,11.07,1644,5.1,901,2.8,1783,5.5,1917,6
10/1/2000,Chungcheongbuk-do,1674,13.21,883,7,310,2.4,808,6.4,791,6.2
10/1/2000,Chungcheongnam-do,2008,12.34,1317,8.1,386,2.4,1045,6.4,691,4.2
10/1/2000,Daegu,2814,13.17,1004,4.7,469,2.2,1249,5.8,1810,8.5
10/1/2000,Daejeon,1665,14.24,504,4.3,307,2.6,844,7.2,1161,9.9
10/1/2000,Gangwon-do,1542,11.72,928,7.1,332,2.5,917,7,614,4.7
10/1/2000,Gwangju,1780,15.36,473,4.1,269,2.3,681,5.9,1307,11.3
10/1/2000,Gyeonggi-do,12126,15.67,3437,4.4,2219,2.9,5856,7.6,8689,11.2
10/1/2000,Gyeongsangbuk-do,2858,12.06,1840,7.8,495,2.1,1359,5.7,1018,4.3
10/1/2000,Gyeongsangnam-do,3619,13.82,1803,6.9,657,2.5,1430,5.5,1816,6.9
10/1/2000,Incheon,2880,13.39,987,4.6,642,3,1519,7.1,1893,8.8
10/1/2000,Jeju,720,15.7,287,6.3,166,3.6,319,7,433,9.4
10/1/2000,Jeollabuk-do,1989,11.75,1280,7.6,355,2.1,865,5.1,709,4.2
10/1/2000,Jeollanam-do,2156,11.92,1591,8.8,361,2,842,4.7,565,3.1
10/1/2000,Seoul,11659,13.34,3472,4,2347,2.7,6393,7.3,8187,9.4
10/1/2000,Ulsan,1378,15.7,375,4.3,244,2.8,509,5.8,1003,11.4
10/1/2000,Whole country,54429,13.49,21825,5.4,10626,2.6,26823,6.6,32604,8.1
11/1/2000,Busan,3384,10.87,1612,5.2,828,2.7,2284,7.3,1772,5.7
11/1/2000,Chungcheongbuk-do,1592,12.97,948,7.7,263,2.1,995,8.1,644,5.2
11/1/2000,Chungcheongnam-do,1949,12.37,1258,8,373,2.4,1181,7.5,691,4.4
11/1/2000,Daegu,2693,13.02,919,4.4,447,2.2,1599,7.7,1774,8.6
11/1/2000,Daejeon,1573,13.88,498,4.4,305,2.7,998,8.8,1075,9.5
11/1/2000,Gangwon-do,1563,12.27,914,7.2,355,2.8,1051,8.2,649,5.1
11/1/2000,Gwangju,1659,14.77,523,4.7,260,2.3,959,8.5,1136,10.1
11/1/2000,Gyeonggi-do,11949,15.9,3299,4.4,2082,2.8,7421,9.9,8650,11.5
11/1/2000,Gyeongsangbuk-do,2882,12.57,1871,8.2,460,2,1591,6.9,1011,4.4
11/1/2000,Gyeongsangnam-do,3385,13.35,1714,6.8,568,2.2,1845,7.3,1671,6.6
11/1/2000,Incheon,2728,13.09,906,4.3,645,3.1,1844,8.8,1822,8.7
11/1/2000,Jeju,724,16.3,240,5.4,153,3.4,373,8.4,484,10.9
11/1/2000,Jeollabuk-do,2010,12.27,1180,7.2,302,1.8,1074,6.6,830,5.1
11/1/2000,Jeollanam-do,2026,11.59,1605,9.2,365,2.1,1046,6,421,2.4
11/1/2000,Seoul,11027,13.05,3262,3.9,2141,2.5,7963,9.4,7765,9.2
11/1/2000,Ulsan,1259,14.8,319,3.7,202,2.4,720,8.5,940,11
11/1/2000,Whole country,52403,13.41,21068,5.4,9887,2.5,33343,8.5,31335,8
12/1/2000,Busan,3184,9.9,1575,4.9,818,2.5,2544,7.9,1609,5
12/1/2000,Chungcheongbuk-do,1608,12.68,867,6.8,305,2.4,1031,8.1,741,5.8
12/1/2000,Chungcheongnam-do,2045,12.56,1247,7.7,350,2.2,1286,7.9,798,4.9
12/1/2000,Daegu,2663,12.46,978,4.6,411,1.9,1811,8.5,1685,7.9
12/1/2000,Daejeon,1567,13.36,520,4.4,293,2.5,1084,9.2,1047,8.9
12/1/2000,Gangwon-do,1506,11.44,928,7,342,2.6,1004,7.6,578,4.4
12/1/2000,Gwangju,1630,14.03,519,4.5,244,2.1,1075,9.3,1111,9.6
12/1/2000,Gyeonggi-do,11311,14.51,3275,4.2,1978,2.5,8108,10.4,8036,10.3
12/1/2000,Gyeongsangbuk-do,2816,11.89,1861,7.9,493,2.1,1836,7.8,955,4
12/1/2000,Gyeongsangnam-do,3291,12.56,1709,6.5,536,2,2186,8.3,1582,6
12/1/2000,Incheon,2765,12.83,904,4.2,677,3.1,2026,9.4,1861,8.6
12/1/2000,Jeju,685,14.92,286,6.2,142,3.1,357,7.8,399,8.7
12/1/2000,Jeollabuk-do,1984,11.72,1271,7.5,341,2,1271,7.5,713,4.2
12/1/2000,Jeollanam-do,2041,11.31,1531,8.5,327,1.8,1233,6.8,510,2.8
12/1/2000,Seoul,10461,11.98,3345,3.8,2097,2.4,9460,10.8,7116,8.1
12/1/2000,Ulsan,1218,13.83,335,3.8,220,2.5,848,9.6,883,10
12/1/2000,Whole country,50775,12.56,21151,5.2,9709,2.4,37549,9.3,29624,7.3
1/1/2001,Busan,3406,10.56,1639,5.1,799,2.5,2054,6.4,1767,5.5
1/1/2001,Chungcheongbuk-do,1841,14.47,848,6.7,264,2.1,796,6.3,993,7.8
1/1/2001,Chungcheongnam-do,2245,13.76,1230,7.5,330,2,886,5.4,1015,6.2
1/1/2001,Daegu,2849,13.28,1057,4.9,423,2,1482,6.9,1792,8.4
1/1/2001,Daejeon,1796,15.25,485,4.1,314,2.7,756,6.4,1311,11.1
1/1/2001,Gangwon-do,1781,13.49,853,6.5,319,2.4,721,5.5,928,7
1/1/2001,Gwangju,2030,17.4,516,4.4,270,2.3,777,6.7,1514,13
1/1/2001,Gyeonggi-do,12699,16.2,3328,4.2,1885,2.4,5408,6.9,9371,12
1/1/2001,Gyeongsangbuk-do,2955,12.44,1840,7.7,464,2,1508,6.4,1115,4.7
1/1/2001,Gyeongsangnam-do,3503,13.33,1680,6.4,556,2.1,1925,7.3,1823,6.9
1/1/2001,Incheon,3072,14.2,941,4.4,595,2.8,1364,6.3,2131,9.9
1/1/2001,Jeju,672,14.59,256,5.6,114,2.5,376,8.2,416,9
1/1/2001,Jeollabuk-do,2410,14.21,1195,7,326,1.9,1018,6,1215,7.2
1/1/2001,Jeollanam-do,2392,13.23,1563,8.6,338,1.9,996,5.5,829,4.6
1/1/2001,Seoul,11961,13.65,3305,3.8,1940,2.2,6242,7.1,8656,9.9
1/1/2001,Ulsan,1337,15.12,341,3.9,219,2.5,617,7,996,11.3
1/1/2001,Whole country,56949,14.04,21077,5.2,9270,2.3,27280,6.7,35872,8.8
2/1/2001,Busan,3163,10.86,1573,5.4,939,3.2,1884,6.5,1590,5.5
2/1/2001,Chungcheongbuk-do,1642,14.28,790,6.9,357,3.1,727,6.3,852,7.4
2/1/2001,Chungcheongnam-do,2003,13.59,1127,7.6,366,2.5,850,5.8,876,5.9
2/1/2001,Daegu,2385,12.3,903,4.7,485,2.5,1303,6.7,1482,7.6
2/1/2001,Daejeon,1537,14.41,490,4.6,341,3.2,711,6.7,1047,9.8
2/1/2001,Gangwon-do,1473,12.35,838,7,420,3.5,642,5.4,635,5.3
2/1/2001,Gwangju,1578,14.94,474,4.5,277,2.6,793,7.5,1104,10.5
2/1/2001,Gyeonggi-do,11314,15.93,3141,4.4,2326,3.3,4665,6.6,8173,11.5
2/1/2001,Gyeongsangbuk-do,2718,12.69,1770,8.3,517,2.4,1348,6.3,948,4.4
2/1/2001,Gyeongsangnam-do,3297,13.88,1578,6.6,682,2.9,1674,7,1719,7.2
2/1/2001,Incheon,2727,13.94,851,4.4,779,4,1119,5.7,1876,9.6
2/1/2001,Jeju,657,15.78,252,6.1,159,3.8,361,8.7,405,9.7
2/1/2001,Jeollabuk-do,2000,13.07,1130,7.4,404,2.6,889,5.8,870,5.7
2/1/2001,Jeollanam-do,2070,12.69,1466,9,391,2.4,908,5.6,604,3.7
2/1/2001,Seoul,10159,12.82,3030,3.8,2358,3,5454,6.9,7129,9
2/1/2001,Ulsan,1216,15.2,297,3.7,254,3.2,537,6.7,919,11.5
2/1/2001,Whole country,49939,13.62,19710,5.4,11193,3.1,24243,6.6,30229,8.2
3/1/2001,Busan,3616,11.22,1696,5.3,951,3,1703,5.3,1920,6
3/1/2001,Chungcheongbuk-do,1715,13.47,877,6.9,358,2.8,877,6.9,838,6.6
3/1/2001,Chungcheongnam-do,2123,13.01,1270,7.8,481,2.9,1118,6.8,853,5.2
3/1/2001,Daegu,2760,12.85,1008,4.7,539,2.5,1176,5.5,1752,8.2
3/1/2001,Daejeon,1727,14.6,520,4.4,371,3.1,878,7.4,1207,10.2
3/1/2001,Gangwon-do,1646,12.47,1006,7.6,416,3.2,812,6.2,640,4.9
3/1/2001,Gwangju,1790,15.29,544,4.6,332,2.8,879,7.5,1246,10.6
3/1/2001,Gyeonggi-do,12234,15.52,3469,4.4,2624,3.3,5981,7.6,8765,11.1
3/1/2001,Gyeongsangbuk-do,3023,12.76,2054,8.7,516,2.2,1319,5.6,969,4.1
3/1/2001,Gyeongsangnam-do,3561,13.54,1760,6.7,734,2.8,1559,5.9,1801,6.8
3/1/2001,Incheon,2896,13.36,922,4.3,932,4.3,1504,6.9,1974,9.1
3/1/2001,Jeju,735,15.92,254,5.5,150,3.2,427,9.2,481,10.4
3/1/2001,Jeollabuk-do,2080,12.29,1307,7.7,371,2.2,1007,5.9,773,4.6
3/1/2001,Jeollanam-do,2306,12.79,1715,9.5,419,2.3,1006,5.6,591,3.3
3/1/2001,Seoul,10971,12.5,3397,3.9,2630,3,6751,7.7,7574,8.6
3/1/2001,Ulsan,1366,15.41,369,4.2,288,3.2,540,6.1,997,11.2
3/1/2001,Whole country,54549,13.43,22168,5.5,12266,3,28002,6.9,32381,8
4/1/2001,Busan,3131,10.05,1571,5,813,2.6,1933,6.2,1560,5
4/1/2001,Chungcheongbuk-do,1558,12.63,825,6.7,292,2.4,929,7.5,733,5.9
4/1/2001,Chungcheongnam-do,1861,11.78,1200,7.6,363,2.3,1049,6.6,661,4.2
4/1/2001,Daegu,2413,11.61,981,4.7,493,2.4,1318,6.3,1432,6.9
4/1/2001,Daejeon,1509,13.17,498,4.3,293,2.6,889,7.8,1011,8.8
4/1/2001,Gangwon-do,1469,11.51,941,7.4,385,3,912,7.1,528,4.1
4/1/2001,Gwangju,1442,12.73,510,4.5,326,2.9,804,7.1,932,8.2
4/1/2001,Gyeonggi-do,10811,14.13,3347,4.4,2366,3.1,6228,8.1,7464,9.8
4/1/2001,Gyeongsangbuk-do,2666,11.63,1808,7.9,497,2.2,1535,6.7,858,3.7
4/1/2001,Gyeongsangnam-do,3170,12.45,1667,6.5,577,2.3,1765,6.9,1503,5.9
4/1/2001,Incheon,2609,12.43,937,4.5,741,3.5,1524,7.3,1672,8
4/1/2001,Jeju,636,14.22,263,5.9,137,3.1,340,7.6,373,8.3
4/1/2001,Jeollabuk-do,1904,11.63,1220,7.5,373,2.3,942,5.8,684,4.2
4/1/2001,Jeollanam-do,2013,11.55,1528,8.8,354,2,1047,6,485,2.8
4/1/2001,Seoul,9950,11.71,3355,4,2452,2.9,6825,8,6595,7.8
4/1/2001,Ulsan,1167,13.58,326,3.8,225,2.6,592,6.9,841,9.8
4/1/2001,Whole country,48309,12.28,20977,5.3,10843,2.8,29065,7.4,27332,6.9
5/1/2001,Busan,3037,9.43,1497,4.7,863,2.7,2352,7.3,1540,4.8
5/1/2001,Chungcheongbuk-do,1508,11.83,814,6.4,344,2.7,1031,8.1,694,5.4
5/1/2001,Chungcheongnam-do,1833,11.22,1198,7.3,375,2.3,1141,7,635,3.9
5/1/2001,Daegu,2387,11.11,905,4.2,561,2.6,1666,7.8,1482,6.9
5/1/2001,Daejeon,1430,12.06,477,4,357,3,995,8.4,953,8
5/1/2001,Gangwon-do,1432,10.86,932,7.1,387,2.9,982,7.4,500,3.8
5/1/2001,Gwangju,1471,12.56,475,4.1,319,2.7,980,8.4,996,8.5
5/1/2001,Gyeonggi-do,10453,13.17,3275,4.1,2478,3.1,7231,9.1,7178,9
5/1/2001,Gyeongsangbuk-do,2595,10.96,1852,7.8,554,2.3,1720,7.3,743,3.1
5/1/2001,Gyeongsangnam-do,3058,11.62,1693,6.4,665,2.5,2027,7.7,1365,5.2
5/1/2001,Incheon,2511,11.57,885,4.1,879,4,1811,8.3,1626,7.5
5/1/2001,Jeju,689,14.89,254,5.5,160,3.5,395,8.5,435,9.4
5/1/2001,Jeollabuk-do,1808,10.7,1125,6.7,394,2.3,1077,6.4,683,4
5/1/2001,Jeollanam-do,1783,9.9,1500,8.3,386,2.1,1073,6,283,1.6
5/1/2001,Seoul,9649,11,3227,3.7,2591,3,8221,9.4,6422,7.3
5/1/2001,Ulsan,1158,13.02,326,3.7,232,2.6,711,8,832,9.4
5/1/2001,Whole country,46802,11.51,20435,5,11685,2.9,33809,8.3,26367,6.5
6/1/2001,Busan,2660,8.54,1450,4.7,816,2.6,1946,6.2,1210,3.9
6/1/2001,Chungcheongbuk-do,1288,10.44,731,5.9,338,2.7,703,5.7,557,4.5
6/1/2001,Chungcheongnam-do,1687,10.67,1106,7,356,2.3,827,5.2,581,3.7
6/1/2001,Daegu,2094,10.07,894,4.3,548,2.6,1257,6,1200,5.8
6/1/2001,Daejeon,1215,10.58,425,3.7,349,3,821,7.1,790,6.9
6/1/2001,Gangwon-do,1253,9.82,869,6.8,343,2.7,733,5.7,384,3
6/1/2001,Gwangju,1387,12.24,419,3.7,291,2.6,710,6.3,968,8.5
6/1/2001,Gyeonggi-do,9524,12.37,2915,3.8,2493,3.2,5735,7.4,6609,8.6
