Case_Year,Case Number,Incident_DateTime,Borough,Battalion,Community_District,Precinct,Incident_Classification,Cause_Fire_Description,Fire_Code_Category
2024,40281,03/19/2024 03:58:00 PM,Queens,50,12,113,Garage/Shed,Smoking (Cigarette/Cigar),Smoking
2024,20238,03/19/2024 04:16:00 PM,Bronx,15,11,47,,Preliminary Investigation Only,Other
2024,30291,03/19/2024 06:57:00 PM,Brooklyn,57,1,94,Street,Lithium Ion Battery,Electrical
2024,40282,03/19/2024 08:04:00 PM,Queens,50,12,103,Vehicle,Preliminary Investigation Only,Other
2024,10135,03/19/2024 10:34:00 PM,Manhattan,13,12,34,MD Residential Structure,Appliance Cord,Electrical
2024,10136,03/20/2024 09:21:00 AM,Manhattan,1,1,1,MD Residential Structure,Heat or Sparks from Friction,Hot Objects
2024,30292,03/20/2024 12:43:00 PM,Brooklyn,42,1,68,Transit,Permanent Heater - Electric,Heaters
2024,10137,03/20/2024 04:23:00 PM,Manhattan,9,4,14,Commercial Structure,Incendiary,Incendiary
2024,40286,03/20/2024 10:34:00 PM,Queens,46,5,104,PD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2024,20239,03/21/2024 01:46:00 AM,Bronx,19,7,46,Vehicle,Lithium Ion Battery,Electrical
2024,40290,03/21/2024 02:17:00 AM,Queens,54,13,105,PD Residential Structure,Electrical Wiring,Electrical
2024,10139,03/21/2024 03:50:00 AM,Manhattan,12,11,25,MD Residential Structure,Incendiary - Ignitable Liquid,Incendiary
2024,30293,03/21/2024 04:07:00 AM,Brooklyn,28,1,88,Vehicle,Preliminary Investigation Only,Other
2024,30294,03/21/2024 06:57:00 AM,Brooklyn,35,1,90,Vehicle,Preliminary Investigation Only,Other
2024,20240,03/21/2024 07:41:00 AM,Bronx,3,2,41,Vehicle,Preliminary Investigation Only,Other
2024,20241,03/21/2024 12:26:00 PM,Bronx,18,9,43,Vehicle,Preliminary Investigation Only,Other
2024,10140,03/21/2024 03:39:00 PM,Manhattan,8,5,13,Commercial Structure,Chimney/Flues,Hot Objects
2024,20242,03/21/2024 03:47:00 PM,Bronx,20,9,43,MD Residential Structure,Preliminary Investigation Only,Other
2024,30298,03/21/2024 09:34:00 PM,Brooklyn,37,3,79,MD Residential Structure,Candle,Open Flame
2024,20244,03/22/2024 12:18:00 AM,Bronx,20,10,45,MD Residential Structure,Electrical Wiring,Electrical
2024,40289,03/22/2024 04:54:00 AM,Queens,49,1,114,Vehicle,Incendiary,Incendiary
2024,30299,03/22/2024 06:13:00 AM,Brooklyn,44,5,75,PD Residential Structure,Hot Embers,Hot Objects
2024,20246,03/22/2024 10:38:00 AM,Bronx,15,11,49,Vehicle,Preliminary Investigation Only,Other
2024,30300,03/22/2024 12:07:00 PM,Brooklyn,57,3,79,MD Residential Structure,Incendiary - Reckless Use of Open Flame,Incendiary
2024,77075,03/22/2024 02:29:00 PM,Bronx,14,1,40,Commercial Structure,Preliminary Investigation Only,Other
2024,77073,03/22/2024 02:29:00 PM,Bronx,14,1,40,MD Residential Structure,Lithium Ion Battery,Electrical
2024,30301,03/22/2024 02:46:00 PM,Brooklyn,42,10,66,Outside Rubbish,Smoking (Cigarette/Cigar),Smoking
2024,10141,03/22/2024 03:11:00 PM,Manhattan,8,5,14,Commercial Structure,Smoking (Cigarette/Cigar),Smoking
2024,20247,03/22/2024 07:51:00 PM,Bronx,14,4,42,Vehicle,Preliminary Investigation Only,Other
2024,40294,03/23/2024 02:53:00 AM,Queens,54,12,113,PD Residential Structure,Electrical Wiring,Electrical
2024,30303,03/23/2024 07:45:00 AM,Brooklyn,37,3,81,PD Residential Structure,Electrical Wiring,Electrical
2024,77074,03/23/2024 07:45:00 AM,Brooklyn,28,1,94,Commercial Structure,Lithium Ion Battery,Electrical
