Case_Year,Case Number,Incident_DateTime,Borough,Battalion,Community_District,Precinct,Incident_Classification,Cause_Fire_Description,Fire_Code_Category
2024,20289,04/08/2024 12:34:00 PM,Bronx,14,1,42,School,Incendiary - Combustible Material,Incendiary
2024,30358,04/08/2024 12:56:00 PM,Brooklyn,58,16,73,MD Residential Structure,Incendiary,Incendiary
2024,30359,04/08/2024 02:24:00 PM,Brooklyn,38,17,71,PD Residential Structure,Electrical Wiring,Electrical
2024,77088,04/08/2024 03:07:00 PM,Queens,46,4,110,Other,Other,Other
2024,20290,04/08/2024 04:08:00 PM,Bronx,26,2,42,MD Residential Structure,Matches/Lighter,Open Flame
2024,20291,04/08/2024 07:59:00 PM,Bronx,26,3,41,Vehicle,Preliminary Investigation Only,Other
2024,20292,04/08/2024 09:08:00 PM,Bronx,15,10,45,Vehicle,Preliminary Investigation Only,Other
2024,77086,04/09/2024 12:26:00 AM,Brooklyn,28,1,94,Vehicle,Lithium Ion Battery,Electrical
2024,20294,04/09/2024 03:57:00 AM,Bronx,14,1,40,Vehicle,Incendiary,Incendiary
2024,77087,04/09/2024 06:56:00 AM,Queens,46,4,110,PD Residential Structure,Lithium Ion Battery,Electrical
2024,20295,04/09/2024 08:52:00 AM,Bronx,19,5,46,Commercial Structure,Electrical Wiring,Electrical
2024,30360,04/09/2024 11:29:00 AM,Brooklyn,38,8,77,MD Residential Structure,Incendiary,Incendiary
2024,40344,04/09/2024 12:36:00 PM,Queens,46,4,0,PD Residential Structure,Hard Wire Outlet,Electrical
2024,30361,04/09/2024 04:01:00 PM,Brooklyn,48,6,78,Vehicle,Preliminary Investigation Only,Other
2024,10173,04/09/2024 06:38:00 PM,Manhattan,1,1,1,MD Residential Structure,Other Motor,Motors
2024,10174,04/09/2024 07:31:00 PM,Manhattan,16,9,30,MD Residential Structure,Power Strip,Electrical
2024,40345,04/10/2024 02:14:00 AM,Queens,46,4,110,Commercial Structure,Other - Hot Objects,Hot Objects
2024,77090,04/10/2024 09:30:00 AM,Queens,,7,110,Outside Rubbish,Child Playing w/Matches/Lighter,Open Flame
2024,20297,04/10/2024 11:31:00 AM,Bronx,17,4,48,Vehicle,Preliminary Investigation Only,Other
2024,40347,04/10/2024 02:41:00 PM,Queens,49,1,115,Garage/Shed,Incendiary,Incendiary
2024,77091,04/10/2024 05:54:00 PM,Manhattan,13,12,34,Vehicle,Lithium Ion Battery,Electrical
2024,30363,04/10/2024 06:19:00 PM,Brooklyn,39,5,75,MD Residential Structure,Torch - Legal Use of,Open Flame
2024,10175,04/10/2024 07:12:00 PM,Manhattan,1,1,1,MD Residential Structure,Clothes Dryer - Natural Gas,Appliances
2024,20298,04/10/2024 07:16:00 PM,Bronx,15,11,49,Vehicle,Preliminary Investigation Only,Other
2024,10176,04/11/2024 01:19:00 AM,Manhattan,9,4,18,MD Residential Structure,Other - Electrical,Electrical
2024,20299,04/11/2024 06:09:00 AM,Bronx,20,9,45,Vehicle,Preliminary Investigation Only,Other
2024,30364,04/11/2024 06:21:00 AM,Brooklyn,37,4,81,Vehicle,Preliminary Investigation Only,Other
2024,30365,04/11/2024 11:49:00 AM,Brooklyn,42,10,68,MD Residential Structure,Electrical Wiring,Electrical
2024,40351,04/11/2024 01:09:00 PM,Queens,54,Out of NYC,113,Aircraft,Preliminary Investigation Only,Other
2024,40352,04/11/2024 04:25:00 PM,Queens,54,10,113,Aircraft,Preliminary Investigation Only,Other
2024,10177,04/11/2024 04:56:00 PM,Manhattan,4,3,5,MD Residential Structure,Electrical Wiring,Electrical
2024,30366,04/11/2024 09:39:00 PM,Brooklyn,40,7,68,Vehicle,Electrical Wiring,Electrical
2024,40353,04/12/2024 11:18:00 AM,Queens,51,10,106,PD Residential Structure,Electrical Wiring,Electrical
2024,77092,04/12/2024 12:30:00 PM,Brooklyn,,14,70,No Fire,Other,Other
2024,20300,04/12/2024 02:41:00 PM,Bronx,14,1,40,Vehicle,Preliminary Investigation Only,Other
2024,10180,04/12/2024 03:19:00 PM,Manhattan,11,7,20,Commercial Structure,Other - Hot Objects,Hot Objects
2024,30367,04/12/2024 03:48:00 PM,Brooklyn,39,5,75,Vehicle,Preliminary Investigation Only,Other
2024,30368,04/12/2024 07:15:00 PM,Brooklyn,31,1,90,Vehicle,Preliminary Investigation Only,Other
2024,20301,04/12/2024 07:44:00 PM,Bronx,3,2,41,,Preliminary Investigation Only,Other
2024,10182,04/12/2024 10:01:00 PM,Manhattan,16,10,32,MD Residential Structure,Lithium Ion Battery,Electrical
2024,30369,04/12/2024 11:11:00 PM,Brooklyn,35,1,90,Vehicle,Preliminary Investigation Only,Other
2024,77095,04/13/2024 04:11:00 AM,Brooklyn,43,15,61,Other,Lithium Ion Battery,Electrical
2024,20302,04/13/2024 04:42:00 AM,Bronx,14,1,40,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2024,10183,04/13/2024 03:16:00 PM,Manhattan,16,9,30,Commercial Structure,Incendiary - Torch - Illegal Use of,Incendiary
2024,20305,04/13/2024 08:23:00 PM,Bronx,18,6,46,MD Residential Structure,Preliminary Investigation Only,Other
2024,70037,04/13/2024 10:05:00 PM,Manhattan,,10,32,No Fire,SIU Investigation,Other
2024,40354,04/14/2024 01:10:00 AM,Queens,52,7,110,Vehicle,Motors - Fossil Fuel Powered,Motors
2024,40356,04/14/2024 06:22:00 AM,Queens,51,10,106,Commercial Structure,Lithium Ion Battery,Electrical
2024,20306,04/14/2024 06:58:00 AM,Bronx,14,1,40,Vehicle,Preliminary Investigation Only,Other
2024,30373,04/14/2024 12:28:00 PM,Brooklyn,44,5,75,PD Residential Structure,Electrical Wiring,Electrical
2024,40357,04/14/2024 03:28:00 PM,Queens,52,7,109,MD Residential Structure,Electrical Wiring,Electrical
2024,10185,04/14/2024 11:59:00 PM,Manhattan,13,12,34,Outside Rubbish,Smoking (Cigarette/Cigar),Smoking
2024,20307,04/15/2024 05:39:00 AM,Bronx,3,9,43,Vehicle,Preliminary Investigation Only,Other
2024,30376,04/15/2024 06:10:00 AM,Brooklyn,35,1,90,Vehicle,Incendiary,Incendiary
2024,70045,04/15/2024 06:13:00 AM,Brooklyn,35,1,90,Vehicle,SIU Investigation,Other
2024,10187,04/15/2024 09:53:00 AM,Manhattan,12,10,28,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2024,40358,04/15/2024 04:28:00 PM,Queens,53,13,105,PD Residential Structure,Power Strip,Electrical
2024,10188,04/15/2024 05:13:00 PM,Manhattan,11,7,24,MD Residential Structure,Extension Cord,Electrical
2024,30378,04/15/2024 08:28:00 PM,Brooklyn,39,5,75,MD Residential Structure,Incense,Hot Objects
2024,20308,04/15/2024 10:34:00 PM,Bronx,20,11,43,Vehicle,Preliminary Investigation Only,Other
2024,20309,04/16/2024 04:50:00 AM,Bronx,19,7,46,MD Residential Structure,Refrigeration Compressor,Appliances
2024,77103,04/16/2024 07:30:00 AM,Brooklyn,,5,75,Street,Other - No Fire,No Fire
2024,40360,04/16/2024 09:42:00 AM,Queens,54,13,105,,Preliminary Investigation Only,Other
2024,50065,04/16/2024 02:00:00 PM,Staten Island,21,2,122,,Preliminary Investigation Only,Other
2024,77100,04/16/2024 02:08:00 PM,Brooklyn,,2,77,Vehicle,Lithium Ion Battery,Electrical
2024,20310,04/16/2024 05:38:00 PM,Bronx,3,9,43,MD Residential Structure,Other - No Fire,No Fire
2024,40369,04/16/2024 09:52:00 PM,Queens,54,12,105,PD Residential Structure,Preliminary Investigation Only,Other
2024,40364,04/17/2024 12:15:00 AM,Queens,46,4,110,Commercial Structure,Electrical Wiring,Electrical
2024,20313,04/17/2024 11:24:00 AM,Bronx,27,7,52,Vehicle,Preliminary Investigation Only,Other
2024,10194,04/17/2024 12:43:00 PM,Manhattan,12,10,28,MD Residential Structure,Preliminary Investigation Only,Other
2024,30383,04/17/2024 01:49:00 PM,Brooklyn,33,14,70,MD Residential Structure,Stove/Cooking - Stove,Cooking
2024,30384,04/17/2024 01:55:00 PM,Brooklyn,48,12,66,PD Residential Structure,Preliminary Investigation Only,Other
2024,10195,04/17/2024 08:56:00 PM,Manhattan,10,8,19,Outside Rubbish,Smoking (Cigarette/Cigar),Smoking
2024,10196,04/18/2024 03:31:00 AM,Manhattan,16,9,26,MD Residential Structure,Electrical Wiring,Electrical
2024,40371,04/18/2024 12:14:00 PM,Queens,50,12,113,Commercial Structure,Other - Hot Objects,Hot Objects
2024,10198,04/18/2024 01:10:00 PM,Manhattan,16,10,32,No Fire,Preliminary Investigation Only,Other
2024,40372,04/18/2024 07:11:00 PM,Queens,51,9,102,Commercial Structure,Chimney/Flues,Hot Objects
2024,40374,04/18/2024 07:38:00 PM,Queens,47,14,100,MD Residential Structure,Incendiary,Incendiary
2024,40375,04/18/2024 08:16:00 PM,Queens,53,13,105,PD Residential Structure,Ignitable Liquids/Gases - Lighter Fluid,Ignitable
2024,10199,04/18/2024 09:54:00 PM,Manhattan,12,10,23,MD Residential Structure,Incendiary,Incendiary
2024,30387,04/19/2024 12:46:00 AM,Brooklyn,40,7,66,MD Residential Structure,Stove/Cooking - Stove,Cooking
2024,20316,04/19/2024 03:09:00 AM,Bronx,14,1,40,Vehicle,Preliminary Investigation Only,Other
2024,10201,04/19/2024 08:14:00 AM,Manhattan,13,12,34,Vehicle,Preliminary Investigation Only,Other
2024,20319,04/19/2024 07:14:00 PM,Bronx,15,11,49,Vehicle,Preliminary Investigation Only,Other
2024,30392,04/19/2024 10:33:00 PM,Brooklyn,57,2,77,MD Residential Structure,Candle,Open Flame
2024,77106,04/20/2024 01:00:00 AM,Queens,,9,102,PD Residential Structure,Incendiary - Combustible Material,Incendiary
2024,77108,04/20/2024 01:00:00 AM,Queens,,9,102,PD Residential Structure,Incendiary - Combustible Material,Incendiary
2024,10204,04/20/2024 02:41:00 PM,Manhattan,6,5,13,Vehicle,Preliminary Investigation Only,Other
2024,20320,04/21/2024 06:49:00 AM,Bronx,3,9,43,Vehicle,Preliminary Investigation Only,Other
2024,20321,04/21/2024 10:20:00 AM,Bronx,20,11,49,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2024,20322,04/21/2024 04:49:00 PM,Bronx,20,10,45,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2024,40382,04/21/2024 07:56:00 PM,Queens,45,2,108,Other,Smoking (Cigarette/Cigar),Smoking
2024,40383,04/22/2024 03:06:00 AM,Queens,46,2,108,MD Residential Structure,Electrical Wiring,Electrical
2024,20323,04/22/2024 08:36:00 AM,Bronx,15,10,45,Vehicle,Preliminary Investigation Only,Other
2024,20324,04/22/2024 09:56:00 AM,Bronx,15,11,49,Vehicle,Preliminary Investigation Only,Other
2024,20325,04/22/2024 10:14:00 AM,Bronx,14,1,40,Vehicle,Other - Hot Objects,Hot Objects
2024,30402,04/22/2024 04:13:00 PM,Brooklyn,33,14,61,Vehicle,Electrical Wiring,Electrical
2024,50069,04/22/2024 04:36:00 PM,Staten Island,22,2,122,MFA,Preliminary Investigation Only,Other
2024,10209,04/23/2024 09:17:00 AM,Manhattan,1,1,1,Vehicle,Preliminary Investigation Only,Other
2024,20328,04/23/2024 11:44:00 AM,Bronx,17,4,44,Vehicle,Preliminary Investigation Only,Other
2024,20329,04/23/2024 12:42:00 PM,Bronx,20,10,45,Vehicle,Preliminary Investigation Only,Other
2024,30404,04/23/2024 01:07:00 PM,Brooklyn,42,11,62,PD Residential Structure,Electrical Wiring,Electrical
2024,20330,04/23/2024 02:02:00 PM,Bronx,18,6,48,Vehicle,Preliminary Investigation Only,Other
2024,30407,04/23/2024 04:24:00 PM,Brooklyn,38,9,71,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2024,10210,04/24/2024 05:12:00 AM,Manhattan,4,3,9,Commercial Structure,Lithium Ion Battery,Electrical
2024,20332,04/24/2024 09:08:00 AM,Bronx,,10,45,Vehicle,Preliminary Investigation Only,Other
2024,20333,04/24/2024 09:49:00 PM,Bronx,3,9,43,MD Residential Structure,Incendiary,Incendiary
2024,40390,04/25/2024 03:00:00 AM,Queens,46,4,110,MD Residential Structure,Ignitable Liquids/Gases - Propane,Ignitable
2024,30413,04/25/2024 06:06:00 AM,Brooklyn,33,15,61,Outside Rubbish,Incendiary,Incendiary
2024,77110,04/25/2024 04:30:00 PM,Brooklyn,33,15,61,No Fire,Other - No Fire,No Fire
2024,20337,04/25/2024 07:17:00 PM,Bronx,27,8,50,MD Residential Structure,Spontaneous Combustion,Natural Sources
2024,20339,04/26/2024 09:37:00 AM,Bronx,15,12,47,Vehicle,Preliminary Investigation Only,Other
2024,10213,04/26/2024 09:40:00 AM,Manhattan,11,7,24,Vehicle,Preliminary Investigation Only,Other
2024,10214,04/26/2024 02:17:00 PM,Manhattan,16,9,30,MD Residential Structure,Torch - Legal Use of,Open Flame
2024,10215,04/26/2024 03:19:00 PM,Manhattan,4,3,7,Vehicle,Preliminary Investigation Only,Other
2024,10216,04/26/2024 10:19:00 PM,Manhattan,6,5,13,Commercial Structure,Electrical Wiring,Electrical
2024,20342,04/27/2024 08:21:00 AM,Bronx,19,5,44,Vehicle,Preliminary Investigation Only,Other
2024,40393,04/27/2024 02:59:00 PM,Queens,45,1,114,,Preliminary Investigation Only,Other
2024,20344,04/27/2024 04:38:00 PM,Bronx,20,11,49,Construction Trailer,Electrical Wiring,Electrical
2024,20345,04/28/2024 06:30:00 AM,Bronx,17,4,44,Vehicle,Preliminary Investigation Only,Other
2024,40396,04/28/2024 07:36:00 AM,Queens,47,14,101,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2024,20346,04/28/2024 04:23:00 PM,Bronx,14,1,42,Vehicle,Preliminary Investigation Only,Other
2024,20347,04/28/2024 05:06:00 PM,Bronx,,4,48,Vehicle,Preliminary Investigation Only,Other
2024,30424,04/29/2024 10:34:00 AM,Brooklyn,43,15,60,Transformer,Preliminary Investigation Only,Other
2024,10222,04/29/2024 12:54:00 PM,Manhattan,4,3,9,Vehicle,Preliminary Investigation Only,Other
2024,40399,04/30/2024 02:08:00 AM,Queens,46,4,110,Vehicle,Preliminary Investigation Only,Other
2024,10224,04/30/2024 01:38:00 PM,Manhattan,8,6,17,MD Residential Structure,Heat or Sparks from Friction,Hot Objects
2024,20356,05/02/2024 12:38:00 AM,Bronx,17,4,42,Vehicle,Preliminary Investigation Only,Other
2024,20357,05/02/2024 06:21:00 AM,Bronx,27,12,47,,Preliminary Investigation Only,Other
2024,20358,05/02/2024 06:48:00 AM,Bronx,19,7,50,,Preliminary Investigation Only,Other
2024,10229,05/03/2024 11:37:00 AM,Manhattan,10,8,19,Commercial Structure,Preliminary Investigation Only,Other
2024,30440,05/03/2024 03:14:00 PM,Brooklyn,33,14,63,MD Residential Structure,Preliminary Investigation Only,Other
2024,40405,05/03/2024 05:07:00 PM,Queens,52,8,107,Street,Preliminary Investigation Only,Other
