Genre,Creative Type,Content Rating,Worldwide Gross
Drama,Contemporary Fiction,PG,250800000
Drama,Dramatization,R,36400491
Drama,Contemporary Fiction,PG-13,56709981
Horror,Contemporary Fiction,R,40283321
Comedy,Contemporary Fiction,PG-13,202200000
Drama,Contemporary Fiction,PG-13,119709917
Drama,Contemporary Fiction,R,54294169
Comedy,Contemporary Fiction,PG-13,26613620
Comedy,Science Fiction,PG,36850101
Thriller,Contemporary Fiction,R,96398826
Comedy,Contemporary Fiction,R,176885658
Drama,Contemporary Fiction,R,75803716
Action,Contemporary Fiction,R,15164492
Comedy,Contemporary Fiction,PG-13,35319689
Action,Science Fiction,R,460279930
Comedy,Contemporary Fiction,R,73521587
Black Comedy,Contemporary Fiction,R,14943582
Thriller,Contemporary Fiction,PG-13,211700000
Adventure,Fantasy,PG-13,416385488
Drama,Dramatization,PG,14395874
Drama,Contemporary Fiction,R,34105207
Adventure,Historical Fiction,G,448191819
Drama,Contemporary Fiction,R,149705852
Comedy,Contemporary Fiction,PG-13,234779795
Adventure,Historical Fiction,PG-13,222105681
Drama,Historical Fiction,R,19288130
Comedy,Contemporary Fiction,R,234800000
Comedy,Kids Fiction,G,16304786
Drama,Contemporary Fiction,R,86257553
Thriller,Contemporary Fiction,R,31770413
Horror,Contemporary Fiction,PG-13,180188905
Action,Contemporary Fiction,R,165048228
Romantic Comedy,Contemporary Fiction,PG,308007919
Adventure,Kids Fiction,PG,31333917
Thriller,Contemporary Fiction,PG-13,672806292
Drama,Contemporary Fiction,R,124304264
Comedy,Contemporary Fiction,PG-13,98699769
Action,Fantasy,R,61698899
Horror,Contemporary Fiction,R,89441732
Drama,Contemporary Fiction,R,356258047
Action,Contemporary Fiction,PG-13,117448157
Drama,Contemporary Fiction,PG-13,46112640
Action,Contemporary Fiction,R,177835231
Action,Historical Fiction,R,107752036
Comedy,Contemporary Fiction,PG-13,22591451
Drama,Contemporary Fiction,R,63200000
Drama,Contemporary Fiction,R,100853753
Romantic Comedy,Contemporary Fiction,R,27100030
Black Comedy,Contemporary Fiction,R,16640210
Romantic Comedy,Contemporary Fiction,R,34572780
Black Comedy,Fantasy,R,32382381
Horror,Contemporary Fiction,R,40846082
Thriller,Contemporary Fiction,R,151463090
Drama,Dramatization,R,60265197
Drama,Contemporary Fiction,PG-13,18653615
Comedy,Contemporary Fiction,R,43948865
Action,Contemporary Fiction,PG-13,361730660
Horror,Historical Fiction,R,207068340
Adventure,Kids Fiction,G,484966906
Action,Fantasy,R,212026975
Drama,Fantasy,R,286601374
Drama,Dramatization,PG-13,39251128
Drama,Science Fiction,PG,87420776
Drama,Contemporary Fiction,R,48446802
Comedy,Kids Fiction,PG,298800000
Drama,Dramatization,R,47407635
Drama,Contemporary Fiction,R,100230832
Drama,Historical Fiction,R,81292135
Drama,Dramatization,R,73956241
Comedy,Contemporary Fiction,R,59675307
Drama,Kids Fiction,PG,35512760
Horror,Contemporary Fiction,R,161838076
Drama,Contemporary Fiction,R,39778599
Horror,Science Fiction,R,53182088
Comedy,Contemporary Fiction,R,33422485
Adventure,Science Fiction,PG,106000000
Drama,Dramatization,R,258400000
Horror,Fantasy,R,112802314
Action,Contemporary Fiction,R,91036760
Comedy,Contemporary Fiction,R,47881663
Adventure,Kids Fiction,PG,65700000
Thriller,Contemporary Fiction,PG-13,35007180
Thriller,Contemporary Fiction,R,71719931
Comedy,Contemporary Fiction,PG-13,62063972
Drama,Historical Fiction,PG-13,27709625
Action,Historical Fiction,PG-13,127630030
Comedy,Kids Fiction,PG,59431365
Action,Historical Fiction,R,457683805
Comedy,Contemporary Fiction,R,119739110
Western,Historical Fiction,PG-13,71189835
Comedy,Contemporary Fiction,PG-13,173559438
Action,Contemporary Fiction,R,107190108
