Planet,Color,Mass (10^24kg),Diameter (km),Density (kg/m^3),Surface Gravity(m/s^2),Escape Velocity (km/s),Rotation Period (hours),Length of Day (hours),Distance from Sun (10^6 km),Perihelion (10^6 km),Aphelion (10^6 km),Orbital Period (days),Orbital Velocity (km/s),Orbital Inclination (degrees),Orbital Eccentricity,Obliquity to Orbit (degrees),Mean Temperature (C),Surface Pressure (bars),Number of Moons,Ring System?,Global Magnetic Field?,Surface Temperature (C),Atmospheric Composition,Atmospheric Pressure (bars),Surface Features,Composition
mercury,grey,0.33,4879.0,5429.0,3.7,4.3,13.4,20.6,57.9,46.0,69.8,88,47.4,1.8,0.048,0.034,167.0,0,0.0,no,yes,-173 to 427,mostly none,trace,"craters, scarps",rock and metal
venus,brown and grey,4.87,12104.0,5243.0,8.9,10.4,13.4,20.6,108.2,107.5,108.9,224.7,35.0,3.4,0.007,25.95,-87.5,92,0.0,no,no,462,carbon dioxide (96.5%),92,"volcanoes, venusian plains",rock and metal
earth,"blue, brown green and white",5.97,12756.0,5514.0,9.8,11.2,23.9,24.0,149.6,147.1,152.1,365.2,29.8,0.0,0.017,23.4,15.0,1,1.0,no,yes,-89 to 58,"nitrogen (78.1%), oxygen",1,"mountains, oceans, forests","rock, water, and air"
mars,"red, brown and tan",0.642,6792.0,3934.0,3.7,5.0,24.6,24.7,228.0,206.7,249.3,687,24.1,1.8,0.094,25.2,-65.0,0.01,2.0,no,no,-153 to 20,carbon dioxide (95.3%),0.006,"valles marineris, olympus mons",rock and ice
jupiter,"brown, orange and tan, with white cloud stripes",46.385,142984.0,1326.0,8.95,16.25,9.9,9.9,778.5,740.6,816.4,4331,13.1,1.3,0.049,3.1,-110.0,unknown,79.0,yes,yes,-108 to -150,"hydrogen, helium",unknown,"great red spot, jupiter's rings",gas and liquid
saturn,"golden, brown, and blue-grey",46.385,120536.0,687.0,9.0,35.5,10.7,10.7,1432.0,1357.6,1506.5,"10,747",9.7,2.5,0.052,26.7,-140.0,unknown,82.0,yes,yes,-178 to -228,"hydrogen, helium",unknown,"rings, cassini division, saturn's hexagon",gas and liquid
uranus,blue-green,86.8,51118.0,1270.0,8.7,21.3,-17.2,17.2,2867.0,2732.7,3001.4,"30,589",6.8,0.8,0.047,25.95,-195.0,unknown,27.0,yes,yes,-197,"hydrogen, helium",unknown,"rings, miranda's cliff, oberon's craters",gas and ice
neptune,blue,102.0,49528.0,1638.0,11.0,23.5,16.1,16.1,503.25,473.65,532.85,"59,800",5.4,1.8,0.01,28.3,-200.0,unknown,14.0,yes,yes,-201,"hydrogen, helium",unknown,"great dark spot, triton's geysers",gas and ice
