Region,TOTAL_VOTES,DEM_VOTES,DEM_PERCENT,DEM_EV,REP_VOTES,REP_PERCENT,REP_EV,OTH_VOTES,OTH_PERCENT,OTH_EV
Midwest,34402328,15903817,42.78666666666667,29,17904045,55.39166666666666,83,594466,1.8208333333333335,0
Northeast,27341895,14756608,55.18,73,12185944,42.78888888888889,19,399343,2.0277777777777777,0
Southeast,41480632,17687749,39.3125,13,23246518,59.20666666666667,123,546365,1.4808333333333332,0
Southwest,17268411,7396511,43.225,5,9623443,55.0925,58,248457,1.6824999999999999,0
West,30831991,16788025,46.097272727272724,88,13072641,50.93818181818181,26,971325,2.9645454545454544,0
